id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
13631,6Y2,heliport,Candlelight Heliport,41.567901611328125,-73.46070099,675,NA,US,US-CT,New Milford,no,6Y2,,6Y2,,,
13639,70B,seaplane_base,Millinocket Seaplane Base,45.728381,-68.844486,492,NA,US,US-ME,Millinocket,no,70B,,70B,,https://en.wikipedia.org/wiki/Millinocket_Seaplane_Base,
13655,70MA,heliport,Tobey Hospital Heliport,41.755001068115234,-70.71389771,86,NA,US,US-MA,Wareham,no,70MA,,70MA,,,
345609,70ME,seaplane_base,SWN Pond Splash in Go Seaplane Base,43.520544,-70.648686,318,NA,US,US-ME,Lyman,no,70ME,,70ME,,,Swan Pond
324578,70NH,small_airport,Surette Heliport,43.264916,-71.548417,412,NA,US,US-NH,Concord,no,70NH,,70NH,,,
13693,71ME,small_airport,Twin Eagles Airport,43.96689987,-70.60109711,280,NA,US,US-ME,Naples,no,71ME,,71ME,,,
324708,71NH,heliport,Brady-Laconia Heliport,43.600928,-71.466115,516,NA,US,US-NH,Laconia,no,71NH,,71NH,,,
45449,72ME,small_airport,Philbrick Mountain Airport,44.635278,-68.6325,667,NA,US,US-ME,Ellsworth,no,72ME,,72ME,,,
537462,72NH,seaplane_base,Barndoor Island Seaplane Base,43.553853,-71.232264,504,NA,US,US-NH,Alton,no,72NH,,72NH,,,
505286,73NH,heliport,Haynes Landing,44.718915,-71.597143,1010,NA,US,US-NH,North Stratford,no,73NH,,73NH,,,
45448,74ME,seaplane_base,Labrador Landing Seaplane Base,44.065175,-69.533522,54,NA,US,US-ME,New Castle,no,74ME,,74ME,,,
505975,74NH,heliport,Mercier Heliport,43.065433,-71.499219,577,NA,US,US-NH,Hooksett,no,74NH,,74NH,,,
13834,75B,seaplane_base,Seven G S Seaplane Base,44.49169922,-69.99120331,329,NA,US,US-ME,Mount Vernon,no,75B,,75B,,,
13870,75RI,heliport,"Hopedene, LLC Heliport",41.480371,-71.297117,64,NA,US,US-RI,Newport,no,75RI,,75RI,,,
13882,76B,seaplane_base,Long Lake Seaplane Base,43.986944,-70.618611,268,NA,US,US-ME,Naples,no,,,76B,,"https://en.wikipedia.org/wiki/Long_Lake_Seaplane_Base_(Naples,_Maine)",
13905,76NH,heliport,Harris Homestead Heliport,43.35839844,-71.44120026,650,NA,US,US-NH,Loudon,no,76NH,,76NH,,,
13937,77ME,seaplane_base,Long Pond Seaplane Base,44.43339920043945,-70.21620178,474,NA,US,US-ME,North Livermore,no,77ME,,77ME,,,
13963,78B,seaplane_base,Buckhorn Camps Seaplane Base,45.65420150756836,-68.94950104,500,NA,US,US-ME,Norcross/Millinocket/,no,78B,,78B,,,
45967,78ME,small_airport,Eric's Field Airport,43.753056,-70.259167,97,NA,US,US-ME,Falmouth,no,78ME,,78ME,,,
328974,79ME,heliport,Houlton Regional Hospital Heliport,46.134466,-67.843133,393,NA,US,US-ME,Houlton,no,79ME,,79ME,,,
14055,7B3,small_airport,Hampton Airfield,42.961382,-70.830311,93,NA,US,US-NH,Hampton,no,K7B3,,7B3,,https://de.wikipedia.org/wiki/Hampton_Airfield,
14057,7B9,small_airport,Ellington Airport,41.925302,-72.457066,253,NA,US,US-CT,Ellington,no,K7B9,,7B9,,https://en.wikipedia.org/wiki/Ellington_Airport_(Connecticut),
14213,7MA0,heliport,Digital (Boxboro) Heliport,42.49869918823242,-71.4776001,210,NA,US,US-MA,Boxborough,no,7MA0,,7MA0,,,
14214,7MA1,heliport,Digital (Box 2) Heliport,42.49340057373047,-71.54370117,265,NA,US,US-MA,Boxborough,no,7MA1,,7MA1,,,
45469,7MA2,seaplane_base,Craig Cove Seaplane Base,41.780556,-70.947222,53,NA,US,US-MA,East Freetown,no,7MA2,,7MA2,,,
45473,80MA,heliport,Tew Mac Heliport,42.5975,-71.205,92,NA,US,US-MA,Tewksbury,no,80MA,,80MA,,,
353871,81ME,small_airport,French Field,44.619892,-68.594611,338,NA,US,US-ME,Ellsworth,no,81ME,,81ME,,,
45528,82NH,heliport,Summit Meadow Heliport,42.896841,-71.912779,1018,NA,US,US-NH,Peterborough,no,82NH,,82NH,,,
14590,83B,seaplane_base,Presque Isle Seaplane Base,46.7075,-68.061096,500,NA,US,US-ME,Presque Isle,no,,,83B,,,Northern Maine Regional Seaplane Base
504717,83NH,seaplane_base,Pier 19 Seaplane Base,43.654167,-71.288056,500,NA,US,US-NH,Tuftonborough,no,83NH,,83NH,,,
332216,84ME,small_airport,Cowboys Air Ranch Airport,45.551929,-67.746085,504,NA,US,US-ME,Brookton,no,84ME,,84ME,,,
14671,85B,seaplane_base,Shin Pond Seaplane Base,46.10419845581055,-68.56199646,780,NA,US,US-ME,Patten,no,85B,,85B,,,
45472,85MA,heliport,Lahey Hospital Heliport,42.484749,-71.201549,241,NA,US,US-MA,Burlington,no,85MA,,85MA,,,
505283,86ME,seaplane_base,Cathance Landing Seaplane Base,44.006528,-69.895222,0,NA,US,US-ME,Bowdoinham,no,86ME,,86ME,,,
14746,87B,seaplane_base,Portage Lake Municipal Seaplane Base,46.76029968261719,-68.48079681,608,NA,US,US-ME,Portage Lake,no,87B,,87B,,,
516628,87MA,heliport,Miara1 Helipad,42.533408,-71.134173,97,NA,US,US-MA,Wilmington,no,87MA,,87MA,,,
334284,87ME,heliport,High Note Heliport,44.151331,-70.793986,730,NA,US,US-ME,Sweden,no,87ME,,87ME,,,
505288,88ME,heliport,Deer Hill Heliport,44.15024,-70.669453,762,NA,US,US-ME,Waterford,no,88ME,,88ME,,,
14812,88VT,small_airport,Hawk's Nest Airport,44.878299713134766,-73.35030365,140,NA,US,US-VT,Isle Lamotte,no,88VT,,88VT,,,
334314,89ME,small_airport,Fox Field,44.404764,-69.676436,150,NA,US,US-ME,Vassalboro,no,89ME,,89ME,,,
14867,8B2,small_airport,Twin Mountain Airport,44.263995,-71.546981,1459,NA,US,US-NH,Twin Mountain,no,8B2,,8B2,,https://de.wikipedia.org/wiki/Twin_Mountain_Airport,
316954,8MA4,small_airport,Crow Island Airport (Pvt),42.417222,-71.494444,185,NA,US,US-MA,Stow,no,8MA4,,8MA4,http://www.crowislandairpark.com/,https://en.wikipedia.org/wiki/Crow_Island_Airport,
550693,8ME2,heliport,Peaks Island Ballfield Heliport,43.661608,-70.191033,52,NA,US,US-ME,Portland,no,8ME2,,8ME2,,,
45454,90ME,small_airport,Zinck Airport,44.523056,-70.545556,620,NA,US,US-ME,Rumford,no,90ME,,90ME,,,
322315,90NH,heliport,Daisy's Landing Heliport,43.637244,-71.153133,601,NA,US,US-NH,Wolfeboro,no,90NH,,90NH,,,
531424,91ME,small_airport,J & S Field,44.894075,-69.115707,298,NA,US,US-ME,Stetson,no,91ME,,91ME,,,
15338,92B,seaplane_base,Long Lake Seaplane Base,47.1931,-68.2314,581,NA,US,US-ME,Sinclair,no,92B,,92B,,"https://en.wikipedia.org/wiki/Long_Lake_Seaplane_Base_(Sinclair,_Maine)",
15354,92MA,heliport,Ames Heliport,42.63150024,-70.86509705,64,NA,US,US-MA,Hamilton,no,92MA,,92MA,,,
344096,92ME,small_airport,Buzzport Airport,45.22039,-68.63428,180,NA,US,US-ME,Passadumkeag,no,92ME,,92ME,,,
15359,92NH,heliport,Morrison Heliport,43.67851,-71.51719,720,NA,US,US-NH,Center Harbor,no,92NH,,92NH,,,
15378,93B,small_airport,Stonington Municipal Airport,44.17319869995117,-68.68029785,30,NA,US,US-ME,Stonington,no,93B,,93B,,https://en.wikipedia.org/wiki/Stonington_Municipal_Airport,
15395,93NH,heliport,Sharkey Heliport,43.525001525878906,-72.35829926,550,NA,US,US-NH,Plainfield,no,93NH,,93NH,,,
310037,94NH,small_airport,Tucker Farm Airport,43.47645,-71.7474,620,NA,US,US-NH,Andover,no,94NH,,94NH,,,
505976,95NH,heliport,Macy Heliport,43.063662,-71.453499,262,NA,US,US-NH,Hooksett,no,95NH,,95NH,,,
45457,98ME,small_airport,Greaton Airfield,43.572013,-70.525362,170,NA,US,US-ME,Saco,no,,,98M,,,98ME
15577,98NH,heliport,Skybast Heliport,43.21120071411133,-71.24009705,565,NA,US,US-NH,Northwood,no,98NH,,98NH,,,
331674,99ME,heliport,Isle Au Haut Heliport,44.075318,-68.632418,55,NA,US,US-ME,Isle Au Haut,no,99ME,,99ME,,,
15656,9B1,closed,Marlboro Airport,42.343201,-71.509002,285,NA,US,US-MA,Marlboro,no,,,,,https://en.wikipedia.org/wiki/Marlboro_Airport,"9B1, MXG, MXG"
15657,9B8,small_airport,Salmon River Airfield,41.589262,-72.44246,540,NA,US,US-CT,Marlborough,no,,,9B8,,https://en.wikipedia.org/wiki/Salmon_River_Airfield,
15801,9MA8,heliport,Wayne West Heliport,41.84680176,-70.7609024,90,NA,US,US-MA,Carver,no,9MA8,,9MA8,,,
16490,B06,small_airport,Basin Harbor Airport,44.191499,-73.358889,132,NA,US,US-VT,Vergennes,no,KB06,,B06,,,
16491,B10,small_airport,Bowman Field,44.41,-70.146103,327,NA,US,US-ME,Livermore Falls,no,B10,,B10,,https://en.wikipedia.org/wiki/Bowman_Field_(Maine),
16492,B18,seaplane_base,Alton Bay Seaplane Base,43.4776,-71.237,504,NA,US,US-NH,Alton Bay,no,B18,,B18,,https://en.wikipedia.org/wiki/Alton_Bay_Seaplane_Base,
